x,z,Density,Nu_Tilde,Pressure,Temperature,U,W,dUdX,dWdX,dUdZ,dWdZ,d2UdX2,d2WdZ2,dNu_tdX,dNu_tdZ
-0.00808551,0,1.32638,0.000304418,114520,300.778,52.3132,0.000913041,-4315.76,-0.00827015,72387.8,3830.17,-100060,-5381280,-0.00675638,-0.00538202
-0.016699,0,1.32988,0.000065378,114510,299.96,68.7603,-2.26248E-05,-1192.9,0.0599764,14408.2,1029.87,-248891,170687,0.0157976,-0.00113115
-0.0264028,0,1.33022,0.000054951,114496,299.844,71.7719,-0.000023161,-136.177,-0.000422964,2064.36,99.2609,-70543.9,-2266840,0.000799628,0.000162325
-0.0378307,0,1.32968,4.99924E-05,114486,299.943,70.6799,-1.10565E-05,86.8617,-0.000892293,-414.948,-76.4924,-10377.2,-1485230,0.000388714,0.000406462
-0.0517288,0,1.32932,4.54736E-05,114482,300.011,69.6426,-1.91889E-06,52.3807,-0.000445682,-378.89,-42.5209,2417.91,-343205,0.000247168,0.000175689
-0.0690046,0,1.32921,4.31717E-05,114479,300.029,69.2995,4.34912E-07,12.2015,-7.98566E-05,-103.52,-9.3148,1621.51,23619.6,9.54447E-05,5.59122E-05
-0.0907862,0,1.32919,4.23255E-05,114477,300.028,69.2836,3.35138E-07,-0.149481,6.3901E-06,1.21221,0.273565,356.914,41764.7,2.74906E-05,0.000017193
-0.118496,0,1.32919,4.20423E-05,114475,300.024,69.3247,8.18269E-08,-1.18576,6.18211E-06,12.109,0.9555,15.5166,14684.8,7.67619E-06,5.06608E-06
-0.153943,0,1.32917,4.19086E-05,114474,300.023,69.3505,2.37432E-08,-0.545023,1.3994E-06,5.18759,0.451491,-13.8942,2298.02,3.05042E-06,2.76279E-06
-0.199442,0,1.32917,4.18205E-05,114473,300.022,69.3625,-2.31214E-08,-0.206652,1.93185E-07,1.16104,0.136258,-5.32931,2382.47,0.000001639,1.88531E-06
-0.257964,0,1.32915,4.17516E-05,114471,300.021,69.3694,4.1466E-08,-0.0859092,-2.1282E-07,0.516661,0.112645,-1.50754,-2019.58,9.91347E-07,1.26073E-06
-0.257964,4.03918E-06,1.32915,4.17516E-05,114471,300.021,69.3694,4.96461E-07,-0.0861789,0.00000425,0.416718,0.104488,-1.51458,-1338.08,9.93141E-07,2.57116E-06
