Epoch,Learning rate,Training loss,Testing loss,RANS loss,BC loss,Sample loss
5.880000000000000000e+03,5.904900000000001689e-05,2.459422896651748033e+03,1.270122914451709164e+02,2.308692343750000120e+01,3.310157775878906250e+00,1.352332609176214184e+01
5.929000000000000000e+03,5.904900000000001689e-05,2.457959956086931925e+03,1.266874076931073745e+02,2.195495312499999940e+01,3.303757476806640891e+00,1.348736547092697258e+01
5.978000000000000000e+03,5.904900000000001689e-05,2.456471911509961956e+03,1.262487912351977144e+02,2.087389062500000136e+01,3.292677688598633079e+00,1.343919297332162266e+01
6.027000000000000000e+03,5.314410000000001859e-05,2.454933388689485128e+03,1.262630190580805021e+02,2.010050937500000146e+01,3.277315521240234730e+00,1.343589339177589892e+01
6.076000000000000000e+03,5.314410000000001859e-05,2.453566175195266624e+03,1.259331701345911796e+02,1.908358593750000054e+01,3.268684387207031250e+00,1.339915105474851309e+01
6.125000000000000000e+03,5.314410000000001859e-05,2.452147039826831588e+03,1.258336375653264270e+02,1.815902499999999975e+01,3.255594635009765980e+00,1.338514111023729214e+01
6.174000000000000000e+03,5.314410000000001859e-05,2.450780264226259078e+03,1.256762526710381564e+02,1.722291718750000200e+01,3.243930816650390625e+00,1.336604728225695027e+01
6.223000000000000000e+03,5.314410000000001859e-05,2.449523883330397894e+03,1.251389848622878986e+02,1.610911250000000194e+01,3.235160064697265803e+00,1.330859845640747352e+01
6.272000000000000000e+03,5.314410000000001859e-05,2.448349923466331347e+03,1.243668266239188824e+02,1.496253125000000139e+01,3.231685638427734375e+00,1.323022210000438292e+01
6.321000000000000000e+03,5.314410000000001859e-05,2.447069445424484002e+03,1.246538460471319354e+02,1.440543593750000007e+01,3.208629989624023793e+00,1.325333272158061781e+01
6.370000000000000000e+03,5.314410000000001859e-05,2.445953639398175255e+03,1.242596436856085802e+02,1.357074687500000110e+01,3.197695350646972745e+00,1.321163706215594225e+01
